"","Partido","agrotox","cartvdam","cons_mp","conv_interam_rac","correios","div_fundpart","dsil","eletrobras","fundeb_igrej","grilagem","imp_renda","improb_base","improb_dolo","improb_nep","ind.BC","jogazar","lib_san_bas","lic_amb","mineracao_votourg","minireftrab","pec.emg","posse_armas","precatorios","proib_desp_pand","refprev","sisteleit","sisteleit_col","sisteleit_dist","telecom","vot_imp"
"178975","MDB","Sim","Sim",NA,"Sim",NA,"Sim","Sim",NA,NA,"Sim","Não","Sim","Sim","Não","Sim","Não","Sim",NA,"Não","Sim","Sim","Sim","Não",NA,"Sim","Não","Não","Não",NA,"Não"
"178933","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim","Não","Sim","Sim"
"178952","MDB","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Sim","Não",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Sim","Não",NA,"Sim","Sim","Sim","Não","Sim","Não"
"178954","MDB",NA,"Sim","Não",NA,"Sim",NA,"Não","Sim","Sim","Sim","Sim","Sim","Sim",NA,NA,NA,NA,NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim",NA,"Sim","Não","Sim","Sim"
"178994","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim",NA,NA,NA,"Sim","Sim","Não","Não","Sim","Não"
"178996","MDB","Sim","Sim","Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Não","Sim",NA,NA,NA,NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não",NA,"Sim","Sim"
"178997","MDB",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim",NA,NA,"Não","Sim",NA,NA,NA,NA,NA,"Sim",NA,NA,"Sim","Sim","Sim","Sim",NA,NA,"Sim"
"179001","MDB","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim",NA,NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim"
"204436","MDB","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim",NA,NA,NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim",NA,"Sim","Não"
"204437","MDB","Sim","Não","Sim",NA,NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim",NA,"Não",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não",NA,"Sim"
"160651","MDB","Sim","Sim","Sim",NA,"Sim","Não","Não","Sim",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim"
